Participant,Run,IncludeRun,RunNum,TrialNum,Onset2,Response,RT,IsInterpolated,InfFeed,Posteriors
NF133,Run_02,TRUE,2,11,386,0,1.9828,FALSE,inf_exp.low_neg_out,0.287
NF133,Run_02,TRUE,2,11,408,0,1.71960000000001,FALSE,inf_exp.low_neg_out,-0.2655
NF133,Run_02,TRUE,2,12,423,0,3.03019999999998,FALSE,inf_exp.low_pos_out,0.2075
NF133,Run_02,TRUE,2,12,445,0,2.41140000000001,FALSE,inf_exp.low_pos_out,-0.2352
NF133,Run_03,FALSE,3,1,16,0,1.3676,FALSE,inf_exp.low_pos_out,0.2564
NF133,Run_03,FALSE,3,1,39,0,1.2409,FALSE,inf_exp.low_pos_out,-0.2539
NF133,Run_03,FALSE,3,2,54,0,0.934699999999999,FALSE,inf_exp.high_pos_out,0.3024
NF133,Run_03,FALSE,3,2,76,0,1.41370000000001,FALSE,inf_exp.high_pos_out,-0.2714
NF133,Run_03,FALSE,3,3,91,0,1.3249,FALSE,no_inf_exp.high_neg_out,0.4072
NF133,Run_03,FALSE,3,3,114,NA,NA,FALSE,no_inf_exp.high_neg_out,-0.3115
NF133,Run_03,FALSE,3,4,129,NA,NA,FALSE,inf_exp.low_pos_out,0.4471
NF133,Run_03,FALSE,3,4,150,NA,NA,FALSE,inf_exp.low_pos_out,-0.4158
NF133,Run_03,FALSE,3,5,165,NA,NA,FALSE,no_inf_exp.high_neg_out,0.4812
NF133,Run_03,FALSE,3,5,186,NA,NA,FALSE,no_inf_exp.high_neg_out,-0.4288
NF133,Run_03,FALSE,3,6,201,NA,NA,FALSE,no_inf_exp.high_pos_out,0.5183
NF133,Run_03,FALSE,3,6,223,NA,NA,FALSE,no_inf_exp.high_pos_out,-0.5259
NF133,Run_03,FALSE,3,7,238,NA,NA,FALSE,inf_exp.high_pos_out,0.4587
NF133,Run_03,FALSE,3,7,260,NA,NA,FALSE,inf_exp.high_pos_out,-0.3699
NF133,Run_03,FALSE,3,8,275,NA,NA,FALSE,no_inf_exp.low_pos_out,0.5539
NF133,Run_03,FALSE,3,8,296,0,1.93650000000002,FALSE,no_inf_exp.low_pos_out,-0.4062
